split,decoder,L1,stft,chart,smooth
train,graph,0.0817987656390125,3.0099476250735195,0.0,0.28604981303215027
train,baseline,0.0832850956781344,3.3675491267984565,0.0,0.28619761900468305
val,graph,0.07937959730625152,2.9664121150970457,0.0,0.28496821522712706
val,baseline,0.08005074486136436,3.271482515335083,0.0,0.28496821522712706
test,graph,0.07504982054233551,2.9483227252960207,0.0,0.28448031544685365
test,baseline,0.07638168558478356,3.2778289318084717,0.0,0.28448031544685365
