l1_mean,l1_min,l1_max,centroid_spread_hz,centroid_mean_hz,FAD,RMS,arm,gate
7.177400728356329e-07,4.972167744199396e-07,1.2391119526000693e-06,0.00017142506637353404,361.447322845459,1184.0,0.546,base_ddim,-
6.315170618823426e-07,4.6658476549055194e-07,1.0746962288976647e-06,0.0002110777267719028,393.57297134399414,1100.8,0.543,temp0.5,-
7.552857955569639e-07,4.740513475098851e-07,1.6363483155146241e-06,0.00010874038139331854,340.62170028686523,1217.3,0.556,temp1.5,-
0.05198765466255801,0.02901720441877842,0.09156044572591782,4.759828935981684,447.034854888916,1138.5,0.539,jitter_a0.05,-
0.08357074218136924,0.05208044499158859,0.1305723488330841,9.329766126078498,582.3950729370117,1056.8,0.514,jitter_a0.1,-
0.12917558662593365,0.09548552334308624,0.15989665687084198,18.60926265374751,880.4767837524414,929.9,0.474,jitter_a0.25,-
0.18197733802454813,0.1623721569776535,0.2058468610048294,41.150780252606424,1050.0251159667969,852.7,0.452,jitter_a0.5,USEFUL
0.05227567588112184,0.03698670119047165,0.09480229020118713,77.95421469651394,516.2495079040527,1113.2,0.53,resid_r0.1,USEFUL
0.11201048243258681,0.07941009849309921,0.16966694593429565,191.80925257129002,805.7736015319824,907.7,0.467,resid_r0.3,USEFUL
0.1455862912615495,0.028245022520422935,0.25266194343566895,245.5601331018018,842.5718765258789,161.0,0.15,anchor_a0.25,-
0.17265844597880328,0.021251991391181946,0.30717769265174866,217.1125150546266,899.0381317138672,148.0,0.17,anchor_a0.5,-
0.18093575024977326,0.026501474902033806,0.33127498626708984,203.57994842234066,917.4536819458008,148.3,0.177,anchor_a0.75,-
0.07271504122763872,0.012359270825982094,0.15770377218723297,50.61796256395721,342.864803314209,1137.9,0.541,stopvar,USEFUL
