k,e_orig,e_recon,retention,cosine,split,decoder
0,0.817470133304596,0.8201847076416016,1.0033206939697266,0.9979377632791345,train,graph
1,0.05459481105208397,0.06823722273111343,1.2498847246170044,0.9979377632791345,train,graph
2,0.048195622861385345,0.03707663342356682,0.7692946195602417,0.9979377632791345,train,graph
3,0.0029509924352169037,0.0027149708475917578,0.9200195670127869,0.9979377632791345,train,graph
4,0.02200964279472828,0.023255201056599617,1.056591510772705,0.9979377632791345,train,graph
5,0.03468453511595726,0.033374350517988205,0.9622256755828857,0.9979377632791345,train,graph
6,0.003221363527700305,6.914231198607013e-05,0.021463679149746895,0.9979377632791345,train,graph
7,0.0168729480355978,0.015087809413671494,0.8942011594772339,0.9979377632791345,train,graph
0,0.8172508478164673,0.8087356686592102,0.9895806908607483,0.9969117885286157,train,baseline
1,0.054548703134059906,0.08608940243721008,1.5782116651535034,0.9969117885286157,train,baseline
2,0.0479314886033535,0.023826835677027702,0.49710193276405334,0.9969117885286157,train,baseline
3,0.0029211626388132572,0.0010833514388650656,0.3708631098270416,0.9969117885286157,train,baseline
4,0.022309111431241035,0.03373374044895172,1.512105941772461,0.9969117885286157,train,baseline
5,0.03468732535839081,0.030994851142168045,0.8935497403144836,0.9969117885286157,train,baseline
6,0.0032360004261136055,8.241924660978839e-05,0.025469480082392693,0.9969117885286157,train,baseline
7,0.017115436494350433,0.015453648753464222,0.9029070734977722,0.9969117885286157,train,baseline
0,0.8195666074752808,0.8211328387260437,1.0019110441207886,0.9982502102851868,val,graph
1,0.05889224261045456,0.06777334958314896,1.1508026123046875,0.9982502102851868,val,graph
2,0.04523495212197304,0.03667014092206955,0.8106594681739807,0.9982502102851868,val,graph
3,0.0031468041706830263,0.002657463774085045,0.8444960713386536,0.9982502102851868,val,graph
4,0.02081442065536976,0.022839723154902458,1.097302794456482,0.9982502102851868,val,graph
5,0.035446614027023315,0.03356241434812546,0.9468440413475037,0.9982502102851868,val,graph
6,0.001975067425519228,6.52557791909203e-05,0.033039774745702744,0.9982502102851868,val,graph
7,0.01492320280522108,0.015298743732273579,1.0251648426055908,0.9982502102851868,val,graph
0,0.8195666074752808,0.8077389001846313,0.9855683445930481,0.9972670555114747,val,baseline
1,0.05889224261045456,0.08791142702102661,1.4927505254745483,0.9972670555114747,val,baseline
2,0.04523495212197304,0.02233363501727581,0.4937251806259155,0.9972670555114747,val,baseline
3,0.0031468041706830263,0.0008658998413011432,0.2751680016517639,0.9972670555114747,val,baseline
4,0.02081442065536976,0.034703329205513,1.6672734022140503,0.9972670555114747,val,baseline
5,0.035446614027023315,0.030848303809762,0.87027508020401,0.9972670555114747,val,baseline
6,0.001975067425519228,8.108738256851211e-05,0.041055500507354736,0.9972670555114747,val,baseline
7,0.01492320280522108,0.01551748812198639,1.0398229360580444,0.9972670555114747,val,baseline
0,0.8178571462631226,0.8213820457458496,1.004309892654419,0.9977398991584778,test,graph
1,0.05304271727800369,0.06987392157316208,1.3173141479492188,0.9977398991584778,test,graph
2,0.052826739847660065,0.033820148557424545,0.640208899974823,0.9977398991584778,test,graph
3,0.0031722807325422764,0.002387234242632985,0.7525293231010437,0.9977398991584778,test,graph
4,0.019073955714702606,0.023928314447402954,1.2545019388198853,0.9977398991584778,test,graph
5,0.034363411366939545,0.03328355774283409,0.9685754776000977,0.9977398991584778,test,graph
6,0.003413810860365629,7.737812120467424e-05,0.02266620099544525,0.9977398991584778,test,graph
7,0.016249924898147583,0.015247361734509468,0.938303530216217,0.9977398991584778,test,graph
0,0.8178571462631226,0.8072344660758972,0.9870115518569946,0.9962861061096191,test,baseline
1,0.05304271727800369,0.08880780637264252,1.6742695569992065,0.9962861061096191,test,baseline
2,0.052826739847660065,0.02150283195078373,0.4070444703102112,0.9962861061096191,test,baseline
3,0.0031722807325422764,0.0008388070273213089,0.2644176483154297,0.9962861061096191,test,baseline
4,0.019073955714702606,0.03544206544756889,1.8581392765045166,0.9962861061096191,test,baseline
5,0.034363411366939545,0.03072493150830269,0.8941175937652588,0.9962861061096191,test,baseline
6,0.003413810860365629,8.862757385941222e-05,0.02596147730946541,0.9962861061096191,test,baseline
7,0.016249924898147583,0.015360410325229168,0.9452604055404663,0.9962861061096191,test,baseline
