decoder,FAD,FAD_method,CLAP,CLAP_method,text_prompt,n_gen
graph,1197.7578065000587,encod_proxy,-0.045806992799043655,encod_proxy,warm electronic bass synth,16
baseline,407.86308727405327,encod_proxy,-0.0731474980711937,encod_proxy,warm electronic bass synth,16
