q,test_L1,retention_cosine,decoder_epochs
4,0.10975310951471329,0.9978408932685852,20
8,0.11134211272001267,0.9977753162384033,20
16,0.11438226103782653,0.9971288800239563,20
32,0.10866857320070267,0.9972585558891296,20
