split,with_cspec,L1
train,True,0.0814544754949483
train,False,0.08138725229284981
train,delta,-6.722320209849586e-05
val,True,0.07937959730625152
val,False,0.07942444086074829
val,delta,4.484355449677069e-05
test,True,0.07504982054233551
test,False,0.0750602811574936
test,delta,1.0460615158081055e-05
