round,centroid_mean_hz,centroid_std_hz,rolloff_mean_hz,clap_distance_to_round0
0,269.8052978515625,254.6627960205078,11.71875,0.0
1,1083.230224609375,154.222900390625,130.75657653808594,0.11829829216003418
2,1072.3079833984375,64.62545776367188,123.76644897460938,0.11445307731628418
3,1282.413818359375,34.614498138427734,299.5476989746094,0.1139405369758606
4,1550.9237060546875,64.54449462890625,546.2582397460938,0.12324285507202148
