split,with_cspec,L1
train,True,0.11015852100469849
train,False,0.11101479117165912
train,delta,0.0008562701669606321
val,True,0.10725440979003906
val,False,0.107166787981987
val,delta,-8.762180805205189e-05
test,True,0.1127073273062706
test,False,0.11268039792776108
test,delta,-2.692937850952426e-05
